Type,ID,k,K,delta,b,I0,r,PS,P0,maxViral,TimeMax,cumViral
Needle SAT1 Hapto,SAT1,0.1491685,9.860212,2.635721,0.3474711,2.804368,3.728705,0.01635306,0.01617351,9.660317,3.0275,27.16781
Needle SAT1 Hapto,SAT1,0.1631604,8.923915,2.539781,0.3756167,2.584186,3.883072,0.01716572,0.01634224,8.774361,2.9375,25.27946
Needle SAT1 Hapto,SAT1,0.1316129,8.947132,2.899939,0.4019792,2.836435,4.162607,0.01470693,0.01406458,8.679468,2.8525,23.5483
Needle SAT1 Hapto,SAT1,0.1492647,10.01382,2.672306,0.357836,2.707802,3.772841,0.01622731,0.01546306,9.779846,2.99,26.15246
Needle SAT1 Hapto,SAT1,0.1809759,9.535037,2.81643,0.3570803,2.31174,4.18071,0.01494838,0.01565774,9.316365,2.88,27.46917
Needle SAT1 Hapto,SAT1,0.1575777,9.065369,2.654434,0.3832613,2.585769,3.588198,0.01472572,0.01475086,8.87674,3.1225,24.49513
Needle SAT1 Hapto,SAT1,0.126905,8.057294,2.639049,0.3820288,2.842971,4.281596,0.01428685,0.01505463,7.954693,2.81,24.95388
Needle SAT1 Hapto,SAT1,0.1717219,9.922555,2.708134,0.3680159,2.57331,3.667226,0.01629893,0.01621361,9.686996,3.0475,26.36341
Needle SAT1 Hapto,SAT1,0.1730873,8.677094,2.717004,0.3564865,2.378914,4.59252,0.01593662,0.01598808,8.558115,2.7125,26.77405
Needle SAT1 Hapto,SAT1,0.175428,10.05134,2.668367,0.3596068,2.58848,3.808837,0.01751119,0.01591926,9.825072,2.965,26.22361
Needle SAT1 Hapto,SAT1,0.1286531,9.902894,2.72285,0.3584279,2.947762,3.785303,0.0166909,0.01576226,9.664833,2.9825,25.68973
Needle SAT1 Hapto,SAT1,0.1326601,9.601816,2.733302,0.356638,2.796066,4.138042,0.01450316,0.01481969,9.383107,2.895,26.56427
Needle SAT1 Hapto,SAT1,0.1400372,9.229716,2.617561,0.3910803,2.664271,3.687352,0.01446999,0.01520153,9.025492,3.04,24.75716
Needle SAT1 Hapto,SAT1,0.1159114,8.837429,2.465424,0.3767367,3.072865,4.183321,0.01362977,0.01434068,8.644654,2.88,24.97155
Needle SAT1 Hapto,SAT1,0.1395471,7.994778,2.849464,0.3625691,2.539928,4.897429,0.01474911,0.01609464,7.921292,2.5675,26.5459
Needle SAT1 Hapto,SAT1,0.160326,9.941345,2.947458,0.3639206,2.596824,3.953123,0.01581994,0.01505623,9.692471,2.9225,25.64322
Needle SAT1 Hapto,SAT1,0.1369887,9.625882,2.780356,0.3491053,2.753737,4.205527,0.01587867,0.0155961,9.421055,2.845,26.90608
Needle SAT1 Hapto,SAT1,0.1480571,8.542957,2.553726,0.3706734,2.732882,4.298634,0.01480731,0.01560175,8.429306,2.8375,26.49811
